chandler_dialogue,dialogues_since_last_chandler,intervening_dialogues
Ohh. Mmm.,10,"['Phoebe: Oh.', 'Phoebe: Okay, I understand why Superman is here, but why is there a porcupine at the Easter Bunnys funeral?', ""[Scene: Joey and Rachel's, Rachel is closing the door on the tarantula cage.]"", 'Rachel: I got it!', 'Joey: (yelling from the bedroom) Is it back in the cage?', 'Rachel: Its back in cage!', 'Joey: Cage closed?', 'Rachel: Joey, would you just come out here and stop being such a baby!', 'Written by: Shana Goldberg-Meehan Transcribed by: Eric Aasen With Help from: Aaron Howard-Miller', '[Scene: Chandler and Monicas, Chandler is sitting at the kitchen table eating cheesecake. The box it came in is also on the table.]']"
"Hey, you have got to try this cheesecake.",1,['Rachel: (Comes in the front door and walks towards the kitchen.) Hi.']
(nervously) It was at the front door. When I got home. Somebody sent it to us.,1,"[""Rachel: Oh, yknow I'm not that much of a sweet tooth. I(Chandler puts a forkful of the cheesecake in her mouth.)Wow. My God, so creamy. Oh my God, this is the best cheesecake I have ever had. Where did you get this? (She reaches over to look at the label on the box.)""]"
Ino! I didn't read the box before I opened it. And you can't return a box after you've opened the box.,1,"['Rachel: Chandler, this is not addressed to you. This is addressed to Mrs. Braverman downstairs. (Gasping) Thief.']"
Because it's too delicious.,1,"['Rachel: Why, why not?']"
"No-no-no! It is going to be okay, because Mrs. Braverman is gonna send away for a free one and that way we all win! The only losers are the big cheesecake conglomerate, (Reading the label) Mommas Little Bakery. (Pause) I feel terrible, Im a horrible, horrible, horrible person.",1,"['Rachel: Chandler, you stole this cheesecake. That is wrong.']"
So,3,"['Rachel: (taking a bite) Oh, Im sorry what?', '[Scene: Central Perk, everyone except Rachel is there as Joey gets up and starts putting on his coat.]', 'Joey: All right, I should get going, big day a work. Yknow Im in a coma? Today, they do this test on me and it turns out Im not brain dead.']"
"Oh, whats at 8:00?",4,"['Joey: Ah-ah-ah Mr. Smartie Pants, its just not my character thats not brain dead. Hey, so Pheebs, we still on for tonight?', 'Phoebe: Absolutely!', 'Joey: Ill see you at 8:00.', 'Phoebe: Okay. (Joey exits.)']"
"Well, maybe since the age of 9, Frannies made some new friends.",9,"['Phoebe: Oh, I have dinner plans with Joey. We get together about once a month to discuss the rest of you guys.', 'Ross: Wow, did not know that! May I say how lovely you look today?', 'Phoebe: Duly noted.', 'Ross: Thanks. (Phoebe gets up to get a refill.) (To Monica) Oh! So for tomorrow, do you want to rent a car and drive down together or what?', 'Monica: What are you talking about?', 'Ross: Cousin Frannies wedding, its tomorrow night.', 'Monica: You were invited?!', 'Ross: No.', 'Monica: My God, I cant believe this! I mean I knew that mom and dad were invited, but I thought that was it! I mean from the ages 7 to 9 Frannie and I were inseparable!']"
I used to undress my cousin Glenn. (Monica looks at him then sushes him.),3,"['Ross: Well l-look okay, its probably just a mistake. Let me call Aunt Sheryl okay? Maybe you are invited and the invitation just got lost in the mail.', 'Monica: Yeah, well you call her and tell her that yknow when we were kids her precious little Frannie tried to undress me several times, okay? And if I hadnt have stopped her, there probably wouldnt even be a wedding to go too.', 'Ross: Yknow, she tried to undress me too.']"
Another cheesecake came! They delivered it to the wrong address again!,10,"['Ross: Phoebe hes right, that is the rule.', 'Phoebe: I dont accept this rule. When me make plans, I expect you to show up. Okay, I cant just be a way to kill time til you meet someone better! Yknow boyfriends and girlfriends come and go, but this (Motions that their friendship) is for life!', 'Joey: Wow! Im so sorry; I had no idea it would bother you this much.', 'Phoebe: Well, it does.', 'Joey: Okay, can I-can I make it up to you? Huh? Im sorry. (They hug.) How about uh, dinner tomorrow night?! Ill pay for myself!', 'Phoebe: Okay, you wore me down.', 'Ross: Hey Joe, while youre over there how about another beer for the Ross-A-Tron?', 'Joey: The RossIs that back?!! (Chandler motions no.)', ""[Scene: Monica and Chandler's, Rachel enters to find Chandler staring at another cheesecake box.]"", 'Rachel: Hi!']"
I cant seem to say goodbye.,1,"['Rachel: So just bring it back downstairs, whats the problem?']"
Well Ive forgotten what it tastes like okay?!,1,"['Rachel: Are you serious?! Chandler, we ate an entire cheesecake two days ago and you want more?']"
(closing the box) Yknow what? Forget it! We are just hungry! We have not had lunch! We are just light-headed! So let us go out and have lunch and forget about the cheesecake.,1,"['Rachel: It was cheesecake. It was fine. It had a buttery, crumbly, graham cracker crust, with a very rich yet light, cream cheese filling (Pause) Wow! My whole mouth just filled with saliva!']"
Good idea. Where do you want to go to lunch?,1,['Rachel: Yeah and well drop it off downstairs so that were not tempted.']
"Well, thank you for lunch.",10,"['Ross: (interrupting) Not broad backed!', 'Monica: Wait a minute, yknow, youre bringing me!', 'Ross: What? I cant cancel on Joan!', 'Monica: Why not?!', 'Ross: BecDid you not hear me?! Shes an assistant professor in the Linguistics department, okay? Theyre wild! Why do you want to come anyway?', 'Monica: Because! Shes my cousin. I mean, we grew up together! Were family yknow? Well thats important to me.', 'Ross: Okay, all right, Ill take you. Ill go call Joan. (Does so.)', 'Joey: Aww thats nice. Family should be there, huh? This is her wedding, happiest day of her life.', 'Monica: (laughs) Well see.', '[Scene: The Lobby of Chandler and Rachels building, Chandler and Rachel are returning from lunch.]']"
So apparently we just dont pay for food anymore. (Rachel laughs then Chandler notices something.) Do you see what I see?,1,"['Rachel: What? Wait a minute, I didnt pay, I thought you paid!']"
Mrs. Braverman must be out. (They move closer to it.),1,['Rachel: (gasps) Its still there! (The cheesecake they returned to Mrs. Braverman is still lying in front of her door.)']
"By then, the cheesecake may have gone bad. We dont want her to come back to bad cheesecake.",1,['Rachel: She could be out of town. Maybe shell be gone for months.']
"Well, we dont want that.",1,['Rachel: No that could kill her.']
But we should take it.,1,['Rachel: No so were protecting her.']
Why?,1,['Rachel: But we should move quick.']
Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! (Rachel grabs the cheesecake and they take off upstairs.),1,['Rachel: Because I think I just heard her moving around in there.']
"Im full, and yet I know if I stop eating this, Ill regret it.",10,"['Monica: Phoebe, can I talk to you for a second?', 'Phoebe: Uh-huh. (They go over and talk.)', 'Monica: What are you doing?', 'Phoebe: Well, I have plans with Joey tonight.', 'Monica: So! Hell understand!', 'Phoebe: No he wont. And thats not even the point! Monica, I made a whole speech about you do not cancel plans with friends! And now yknow what? Just because, potentially, the love of my life comes back from Russia just for one night, I-I should change my beliefs?! I should change beliefs! No! No! No, if I dont have my principles, I dont have anything!', 'Monica: God, you are so strong.', 'Phoebe: Or! I should rush through dinner with Joey and I can meet David at 9:00!', ""[Scene: Joey and Rachel's, Rachel and Chandler are eating the cheesecake right out of the box.]"", 'Rachel: (taking a bite) Oh my God! That is so good!']"
What are you doing tonight?,4,"['Joey: (entering) Hey!', 'Rachel: Hey!', 'Joey: (seeing what theyre doing) What do you got there?', 'Rachel: Oh its umm, its tofu cake. Do you want some? (He makes a disgusted noise and heads for his room, Chandler follows him in.)']"
Dude! Dude! (Motions that Joey should pull up his pants.),1,['Joey: Huh? Uh (He starts taking off his pants.)']
"Oh really? Uh, Monica said she had a date at 9:00.",1,"['Joey: Oh! (Pulls up his pants.) Sorry. Uh, Ive got those plans with Phoebe, why?']"
Thats what Monica said.,1,['Joey: What?! Tonight?!']
Are you eating the cheesecake without me?!,10,"['Joey: Fine!', 'Phoebe: Yeah! (She exits.)', 'Joey: (to the waiter) What are you still doin here?! I told you, lobster ravioli!', '[Scene: Outside Central Perk, Phoebe is running up to meet David.]', 'Phoebe: Hey!', 'David: Hey! Oh, I was just about to leave. I-I-I-I didnt think you were coming.', 'Phoebe: Oh, I wouldnt miss this.', 'David: Well, Im very glad youre here. (Kisses her hand.)', 'Phoebe: Oh, youre such a gentleman. (Grabs his arm.) Come on! Were going to my place! (Drags him off to her place.)', ""[Scene: Joey and Rachel's, Rachel is eating the cheesecake and Chandler enters and catches her in the act.]""]"
I will give you a hundred dollars to whistle right now. (She tries to whistle and blows little chunks of cheesecake out of her mouth.) How can you eat the cheesecake without me?!,1,['Rachel: (with a mouthful) Mm-mmm. (Nods no.)']
"Yknow what? I dont trust you with this cake anymore! And I got it first, and Im takin it back! (Grabs the cheesecake and heads for his apartment.)",1,"['Rachel: Oh, what are you going to do?! Are you gonna go run tell Monica?! Are you gonna tell Joey?! No! Because then you will have to tell them what we did! We are desert stealers! We are living outside the law!']"
Oh yes!,1,['Rachel: What?! What?!']
Oh yes!,1,['Rachel: Wait a minute!']
Oh yes! Oh yes!,1,"['Rachel: Oh no-no-no-no-no, no you dont!']"
"Well thats not fair, youve already had some!",1,['Rachel: You think I trust you with it?! No! Were gonna split it! You take half and I take half!']
What do we use to split it?,1,"['Rachel: What? Oh, well then yknow what? I think Monica would be very interested to know that you called her cheesecake dry and mealy.']"
"(examining the cake) Okay well, this side looks bigger. Uh Theres more crust on this side. Yknow? So, maybe if I measured",1,"['Rachel: Okay! (Grabs a knife and cuts it in half.) All right, pick a half.']"
"All right, Ill pick that one. (Points.)",1,['Rachel: Oh for God sake just pick a piece!']
(gloatingly and holding his piece) Ohhh!,1,"['Rachel: Thats also the smaller piece. (Puts the piece onto a plate.) Okay, there you go. Enjoy your half my friend, but that is it. No sharing. No switching, and dont come crying to me if you eat your piece to fast. (As shes saying that she is backing out the door, when she finishes she turns around to return to her place, stumbles and drops the cheesecake on the floor.) Oh!!!!']"
"Oh-ho-ho-ho-no! No! No switching! No sharing, and dont come crying to me! Ha-ha-ha! I may just sit here and have my cake all day! Just sit here in the hallway and eat my (Rachel knocks the plate from his hand and it falls on the floor. That process leaves just the forkful Chandler has, Rachel starts to go after that little bit and Chandler retreats into his apartment.)",1,"['Rachel: Okay, you gotta give me some of your piece.']"
Stick to your side!,10,"['Phoebe: (seeing him) Okay, nows not the time Joey. All right? You can yell at me tomorrow.', 'Joey: No! No! No Pheebs, Im not gonna yell at you. I just yknow, started thinking about you and David and Iremember how bummed you were the first time he left. And I just Oh Pheebs, come here. (He hugs her.) Are you okay?', 'Phoebe: No Im not okay. The only guy Ive ever been crazy about has gone to Minsk and I may neverI may never see him again. (Crying.)', 'Joey: Hey, yknow you could always visit him.', 'Phoebe: Oh right, like theyre gonna let me have a passport.', 'Joey: Anything I can do? Whatever you need.', 'Phoebe: WellButNow, if-if you can achieve positronic distillation of sub-atomic particles yknow before he does, then he can come back. (They hug again.)', 'Joey: I can give it a shot.', '[Scene: The Hallway, Chandler and Rachel are on their knees with forks trying to salvage what they can of the cheesecake off of the floor.]', 'Rachel: Oh! Yay! Look! Theres a piece that doesnt have floor on it!']"
(looking up with her) Thats a plane!,10,"['Aunt Millie: Give us a kiss. Come on! Come on!', 'Ross: Why?! Why on the lips?! (He wipes his mouth on Monicas wrap and walks off, leaving Aunt Millie stunned.)', 'Written by: Zack Rosenblatt Transcribed by: Eric Aasen', '[Scene: The Buildings Roof, the entire gang plus Tag are there to look for a comet. Theyre looking for a comet on a roof of a New York apartment building. Yeah, thats realistic. You might as well look for the moon on a bright sunny day.]', 'Monica: (looking up) Ross, whens this comet thing start?', 'Ross: Well, technically it seven billion years ago (Well, technically youd be able to see it for days, well nights; that is if you could see it with all of the bright lights of New York.)', 'All: (groaning) Oh no! Oh no! (They all start to get up a leave.)', 'Ross: Okay! Okay! Fine, Ill stop! No teaching, okay? Well just watch the pretty light streaking across the sky. (Comets dont streak across the sky, meteors do.) Okay? Whos official name is Bapstein-King.', 'All: Okay! Okay! (They start to leave again.)', 'Phoebe: (looking up) There it is! Oh, look at that! Isnt Mother Nature amazing?']"
"(with a quivering voice) No, Im not!",10,"['Tag: Hey, I wonder if you can see my apartment from up here.', 'Rachel: No. No, you cant.', 'Tag: What?', 'Rachel: Oh I dont-I dont know.', 'Ross: Man, look at all those stars! (Yeah, you can see what? Five of them from the city?) Infinite space. It really, really makes you wonder, doesnt it?', 'Joey: (looking through his binoculars at a nearby building) Yknow what else makes you wonder?', 'Ross: Huh?', 'Joey: Check out the rack on this chick! (Turns around to point it out to Ross and finds that Ross is glaring at him. So he quickly puts his binoculars to his eyes and starts looking for the comet.)', '[Scene: The Roof, continued from earlier.]', 'Monica: Okay, weve been out here for two hours and we havent seen any stupid comets. Can we go now? I mean, Chandlers getting chilly. (She walks over to where Chandler is bundled up in a big coat and shivering.)']"
Because its flattering! (Shivers harder) Come on Monica! Come on Monica! (He goes inside.),1,['Joey: Then why are you wearing Monicas jacket?']
(whispering) Monica!,10,"['Joey: (standing up) Yknow, theres two women dude.', 'Ross: Show me where?', 'Joey: Right-right up here. (Starts looking at them through a piece of pipe.)', 'Ross: (noticing the pipe and looking at the door) Joey wheres the pipe that was holding the door open?', 'Joey: (annoyed) I dont know! (Goes back to looking through the pipe.) (Pause) Yeah, I do.', 'Ross: Joey!', 'Joey: What?! All rightHey! Dont look at me! Youre the one who wanted to come up and look for some stupid Burger King comet!', 'Ross: Its called the Bapstein-King comet, okay? (Joey starts to groan.) Hey! Hey! Bapstein was a very well respected astronomer!', 'Joey: (covering his ears and yelling) Oh no! No! No! (He starts banging on the door.)', '[Scene: Monica and Chandlers bedroom, Monica is sleeping and Chandlers sitting in bed, wide awake.]']"
"I know, just quick-quick question, quick question. Which one was Deep Impact and which one was Armageddon?",1,['Monica: Shes sleeping.']
"Sorry, I justcant sleep. Ooh! (Turns on the light and Monica groans.) Where is that book that you are reading with the two women who were ice-skating and wearing, wearing those hats with the flowers on it? Because every time I look at that cover Im like(Fake snores.)",1,"['Monica: Deep Impact was the one with Robert Duval, Armageddon is whats going to happen to you if you wake me up.']"
What?! (Monica kicks him in the shin.) Ow! (He gets out of bed and heads into the living room.),1,['Monica: It is in the living room where there is also a light! And no one will kick you in the shin.']
"Shhhhhhhhh!!! (Monica enters) Im sorry, I thought maybe Id make some warm milk and it would help me sleep.",10,"['Phoebe: Dont interrupt me!!', '[Scene: The Roof, Ross and Joey are banging on the door.]', 'Ross: Rachel!! Monica!!', 'Joey: Come on!', 'Ross: I cant believe this!!', 'Joey: All right well, yknowI guess we know what we have to do to get down.', 'Ross: (standing at the edge of the roof) Yeah, I guess we dont have a choice. (Screaming to the street) Help us! Please help us! Were stuck up on the roof and we cant get down!!!', 'Joey: Ross. I was thinking we could just go down the fire escape. (Points it out.)', 'Ross: (To Joey) I know, I wasnt finished. (Joey motions him to finish.) (Yelling at the street) But dont worry! Were gonna go down the fire escape!!', ""[Scene: Monica and Chandler's kitchen, Chandler has a jug of milk in his hands and decides to make some warm milk. He opens up the cabinet to get a pot and manages to knock several other pots onto the floor making a lot of noise.]""]"
It got interesting! Damn you Oprah!,1,['Monica: With a wok? (Chandlers holding a wok.) I thought you were going to read my boring book to put you asleep.']
"Hey, yknow what we can do? Yknow, now that we are up? We can just like talk to each other all night long, yknow like we did when we were first going out. Itd be fun!",1,"['Monica: Here, let me make the milk, Im up anyway.']"
"Okay, so how bummed were you when the second sister died huh?",1,['Monica: Okay that does sound like fun.']
"(Pause) No. No, I-I was, I was talking about the book I was reading.",1,['Monica: The second sister dies?!']
Thats correct.,1,['Monica: The second sister dies in Archie and Jughead Double Digest?']
(startled) What? What? What?,10,"['Ross: Oh, all right. (Joey flips the coin.) Tails! (The coin bounces off of the landing above them and falls to the ground.) Can you-can you see what it is?', 'Joey: No.', 'Ross: Okay. Well, you be careful.', 'Joey: What? No! No Ross! No-no! Stop! Im not jumping! Okay, look I have an audition tomorrow and I cant go if I break my leg.', 'Ross: Well Im jumping! I have a son! Okay? He wont have a father if-if I die!', 'Joey: Well all right so, it looks like were even!', ""[Scene: Phoebe's apartment, Phoebe is still investigating the smoke detector trying to figure out how to stop the beeping.]"", 'Phoebe: Okay. So, this wire is connected to this wire which plugs into here. (She points at each as she says it.) Okay so, to get the beeping to stop all I have to do (She picks up a shoe and proceeds to pummel the smoke detector. She then gets up and heads to bed, stops, quickly turns around, and is satisfied that the beeping has stopped.) Well done, Pheebs. (She resumes her trek to bed, but is stopped at the entrance to the hallway by the now steady and extremely loud tone emanating from the smoke detector.) (Yelling.) What do you want from me?!!!!!!!', ""[Scene: Monica and Chandler's bedroom, Monica is entering with a mug.]"", 'Monica: Okay, heres your milk. What do you want to talk about? (She sees that Chandler has fallen asleep and slams the door loudly to wake him up.)']"
Yeah! You?,10,"['Rachel: In the afternoon. Mr. Zelner came into my office after lunch. He put them on my desk, and then I put a Post-It on it (Looks down onto her desk and finds the folder with the Post-It on it that contains the contracts she imagined she gave Tag) that said, ""Must go out today."" So you just keep looking in there! All right?', '[Scene: Rachels outer office, Tag has finished searching his desk and Rachel comes out to try to plant the folder on the desk.]', 'Tag: Its not here.', 'Rachel: Puzzler. A bit of a puzzle. Why dont you um, check the copy room, maybe you left the contracts in there?', 'Tag: How could I have left them in the copy room?', 'Rachel: I dont know Tag! How can your genitals make phone calls? Okay? Its not a perfect world! Just go please.', 'Tag: Fine.', 'Rachel: Thank you. (He leaves and she proceeds to plant the folder in his bottom drawer. She then picks up the phone and holds it to her breasts.) Hello? (Hangs up the phone.) I still dont get it.', ""[Scene: Monica and Chandler's bedroom, Chandler has his eyes closed, while Monica is fully awake.]"", 'Monica: Are you still awake?']"
(intrigued) Yeah? (Monica nods yes.) I hope youre not thinking about cleaning the living room.,1,"['Monica: You do know that was me who just said that right? (He doesnt respond and she turns on the light, waking him.) Hey. As long as were both up']"
Do you know what just happened?,9,"['[Scene: The fire escape, Joey and Ross are still trying to figure out how to get down.]', 'Joey: Man, Im starving! What the hell was I thinking at dinner?! ""Do you want soup or salad?"" Both! Always order both!', 'Ross: (looking in the window behind them) Yknow, yknow Im lookin and I dont think anyones home here. I say we just break the window, crawl through, and-and yknow explain later.', 'Joey: Yeah? Really? No ones home?', 'Ross: I dont think so. Hello? (Knocks on the glass, which angers the big, large, angry dog behind the glass and causes them to jump to the other side of the landing.) When you get in there (Joey nods his disapproval.)', '[Scene: Phoebes apartment building, in desperation she has wrapped up the smoke detector in a blanket and is going to throw it into the trash chute.]', 'Phoebe: Okay, this is where you and I part ways. (She drops the blanket into the chute.) Noisy bitch!', ""[Scene: Monica and Chandler's bedroom, Chandler is turning on the light to awaken a now sleeping Monica.]"", 'Monica: What?! What are you doing?!']"
No. We were in the middle of sexand you fell asleep.,1,['Monica: Yeah. We-we had sex and then we fell asleep.']
(turning the light back on) Monica?,1,"['Monica: Nooo! No, thats not true. No, best time ever! Yeah, you rocked me world! (She turns out the light to go back to sleep.)']"
"I was giving you some of my best moves, and you missed it. So please wake up so we can do it right!",1,['Monica: What?!']
Okay.,1,"['Monica: Okay. Okay, Im ready. Come on big fella!']"
"Yeah! (Monica falls asleep) No! No! No! Dont fall asleep! Okay, I am going to make you some coffee. (Monica doesnt move as he gets out of bed and as hes heading for the door.) And I probably wont spill coffee grounds all over the kitchen floor.",1,['Monica: Give me the good stuff.']
"Hm-hmm, I told you! (Looks at the clock) I cant believe that Ive only got two hours before I call in sick for work.",10,"['Joey: Hi.', 'Ross: (looking down) M-maybe I should hang and you can climb down me.', 'Joey: (angrily) Yeah? Maybe we should talk about that for a little while!', 'Ross: Its still looks pretty far!', 'Joey: Its not that far! Just drop!', 'Ross: Do not rush me!!', 'Joey: Ross, you should know that my pants are startin to come down and Im not wearing any underwear!', 'Ross: Oww!! My ankle! I really hurt my ankle! I think I twisted it when IOoh, a quarter!', ""[Scene: Monica and Chandler's bedroom, theyre cuddling.]"", 'Monica: That really was some of your best work.']"
"Well, youre not gonna believe this, but if you have seven minutes",1,['Monica: I have to be up in seven minutes.']
Do you wanna?,1,['Monica: Really?!']
"Couldnt I just say, ""This is Ross?""",10,"['Joey: No. Rosita does not move.', 'Rachel: Im sorry, Rosita? As in', 'Joey: As in Rosita does not move.', 'Rachel: Joey, its just a chair! Whats the big deal?', 'Joey: The big deal is that it is the exact equal distance from the bathroom to the kitchen and its at the perfect angle so you dont get any glare coming of off Stevie.', 'Rachel: Stevie the TV?', 'Joey: (glaring at her) Is there a problem?', 'Rachel: No! (Joey sets his beer and bag of chips down and heads into his room.) Oh what does he know! Come on Rosita, us chichas got to stick together! (She tries pulling on the back of the chair, until the hinge breaks and the back falls off.) You bitch!', '[Scene: Central Perk, Chandler and Ross are on the couch talking. Phoebe is getting coffee.]', 'Ross: Hey, yknow whats weird? After you guys get married, when you introduce me to people youre gonna have to say, ""This is my brother-in-law Ross."" Not, ""My friend Ross,"" ""brother-in-law Ross."" Thats weird isnt it?']"
(knocking on the window while outside) Sorry! (Runs off.),10,"['Ross: (disappointed) Sure, do whatever you want.', 'Monica: (entering, carrying a newspaper) Hey Ross! So, I was checking out the uh, real estate section', 'Ross: Yeah?', 'Monica: Look at this. (Hands him the newspaper.)', 'Ross: Oh, it looks like mom and dads house. Oh, it even has a tree with a broken limb out front and the uh, the window in the attic isOh my God!!', 'Phoebe: What? What happened to the window in the attic?!', 'Monica: I cant believe mom and dad are selling the house!', 'Ross: I cant believe they-they didnt even tell us!', 'Phoebe: I cant believe I still dont know what happened to the window in the attic!', 'Ross: (on phone) Uh, hello dad! Monica and I just saw the house in the paper! (Listens) Yes were surprised! (Listens) Who did you leave a message with?']"
"Joey! Joe! (Sees that hes not here and starts investigating. He picks up the bag of chips.) Full bag. (He picks up the beer.) Beers still cold. Something terrible mustve happened here! (He decides its not that important; sits down on Rosita, and the back falls off causing him to flip over.) Oh no-no-no-no-no-no! (Runs over to Stevie.) Stevie, I was never here! (Runs out.)",10,"['Phoebe: Umm, okay I would like to talk to you about your toner needs.', 'Supervisor: We dont need any toner.', 'Phoebe: Oh okay, well Im sorry to bother you. Bye-bye. (Hangs up the phone.) Yeah youre right, this is easy.', 'Supervisor: Okay, what was wrong with that call?', 'Phoebe: Oh well, all rightum, no offense, but you were kind of rude.', 'Supervisor: Theyre always going to tell you they dont need toner, but thats okay because whatever they say, you can find the answer to it here in this script.', 'Phoebe: Oh.', 'Supervisor: So, I think youre ready to sell toner, do you have any last questions?', 'Phoebe: No. (Pause) Oh wait yes! I do, I do have one question. What is toner?', ""[Scene: Joey and Rachel's, Chandler is entering.]""]"
"My chair. Now, if anybody asks, your name is Rosita! (He runs out the door, grabs the back of Rosita, and we can hear Joey and Rachel talking as they are coming up the stairs. Neither of them have reached the landing yet.)",10,"['Earl: Okay, sono toner today. Thanks anyway, bye-bye.', 'Phoebe: No-no wait-wait! I cant just let you hang up! Just please talk to me.', 'Earl: WellI only have one thing to do today. (He looks at his board in his office that reads, ""Todays Tasks: KILL SELF."") I guess I could push it back.', 'Phoebe: Yeah! Now, why do you want to kill yourself?', 'Earl: Its just that I uh, have been working for ten years now at this meaningless, dead-end job and nobody here even knows I exist!', 'Phoebe: Chandler?', 'Earl: I-Im sorry?', 'Phoebe: No look, I-Im sure that people know you exist!', 'Earl: Oh yeah? I work in a cubicle surrounded by people. Ive been talking to you for five minutes now about killing myself and no ones even looked up from their desk. Hang-hang on. (To the people standing around his cubicle.) Hey everybody! Uh, Im gonna kill myself! (Theres no response; no one even looks up.) Ill get back to ya. (To Phoebe) I got nothing. Wait. (He sets the phone down.) Uh, hey Marge! (Mimes putting a gun to his head, pulling the trigger, and splattering his brain on the wall behind him. Then points to himself. Marge watches this, then goes back to work.) (To Phoebe) Ehh, nothing. Nothing.', ""[Scene: Joey and Rachel's, Chandler has replaced Rosita with his chair.]""]"
Hey!,10,"['Monica: Just mine?', 'Mr. Geller: Im afraid so.', 'Monica: So why-why wasnt Rosss stuff ruined? (Pause) And if you say the words medical marvel Im going to Easy Bake your head!', 'Mr. Geller: Well, I used your boxes to divert water away from the Porsche.', 'Monica: So wait, Rosss stuff is fine, but I have no memories because you wanted to keep the bottom two inches of your car away from water!!!', 'Mr. Geller: There was also leaves and guk and stuff.', 'Monica: I cant believe this! (Storms out.)', 'Mr. Geller: (To Ross) Screw it! Im having one. (Takes out and lights a cigarette.)', ""[Scene: Monica and Chandler's, Chandler is writing a letter by the bay window as Rachel enters.]"", 'Rachel: Hey Chandler!']"
"Yeah, Id love to but Ive tried that so many times they wont even let me in the store anymore.",1,"['Rachel: How would you like to sit in a chair that fully reclines, has a rolling massage, and speakers in the head rest?']"
(excitedly) Are you telling me that you bought the chair that is making all other lounge systems obsolete? The chair that Sit magazine called the Chair of the Year?,1,"['Rachel: Well what if I told you, you can do it in my apartment?']"
Thats awesome! Thats great! What made you do it?!,1,"['Rachel: I just purchased the La-Z-Boy E-cliner 3000. (Which is an actual product by the way, Im not sure about the 3000 part.)']"
Whoa-whoa-whoa! You broke Joeys chair?,1,"['Rachel: Well, its a long story, but umm I broke Joeys chair']"
I thought I broke Joeys chair! Thats why I replaced it with mine!,1,['Rachel: Yeah.']
"Well, what did you think, that-that elves came in and fixed it?",1,['Rachel: Ohhhhh. Thats how it got fixed!']
Im gettin my chair back! (Heads for Joey and Rachels.),1,['Rachel: Noo! (Laughs) Angels.']
Joey you broke my chair!!,2,"['Rachel: What? Wh-hey!', 'Joey: Well, it looks like it wasnt heeled after all! Yeah! So, I guess this chair is mine now! (Sits down in it and groans.)']"
I think I should get the chair!,6,"['Joey: Your chair?!', 'Rachel: Yeah, he thought he broke your chair so he switched the chairs!', 'Joey: So, there was no miracle?!', 'Rachel: No Joe, no miracle.', 'Joey: (sarcastic) Oh no this is devastating! My faith is shaken. Im so glad I have the new chair to get my through this difficult time in my life.', 'Rachel: Uh-huh! Nice try, but you dont get that chair anymore! All right? That is my chair now! You can sit on my lap! (Joey starts to get up.) No I take that back!']"
"Because you (Points to Joey) broke a chair and you (Points to Rachel) broke a chair! The only one around here that hasnt broke a chair, is me!",1,['Joey: How do you figure?']
"Well, wheres the logic in that?!",1,['Rachel: No-no-no! This chairs not going anywhere.']
So Joey breaks my chair and I get nothing!,1,"['Rachel: The logic is, that there are two of us and we are both strong enough to break a chair in half!']"
What are you guys? Like a gang or something?!,1,['Joey: Thats right!']
(To Monica) Shes not as pretty as she was when she was 29.,10,"['Monica: Do you guys know what happened to Chandlers barca lounger?', 'Rachel: Oh yeah, Joey broke it. Had to get rid of it.', 'Monica: Are you kidding?! I get a Porsche and the barca loungers gone?! This is the best day ever! (Runs out.)', 'Teleplay by: Sherry Bilsing & Ellen Plummer Story by: Vanessa McCarthy  Transcribed by: Eric Aasen', ""[Scene: Joey and Rachel's, Joey is knocking on Rachels door, whose door frame is decorated with balloons. The rest of the gang is there as well. Rachel opens the door and the gang blow on noisemakers.]"", 'Ross: Happy birthday!!!', 'Monica: Happy birthday!!!', 'All: Rach! Come on! Rach!', 'Monica: Its your birthday!', 'Tag: (entering from her room) Hey.']"
"No Rach, its not just you. My thirtieth birthday certainly wasnt that much fun.",10,"['Ross: Weve got presents!', 'Rachel: Good ones?', 'Monica: They all came from the list you handed out to us two weeks ago.', 'Rachel: Well, can I keep the presents and still be 29?', 'Joey: Come on Rach! Look, turning thirty is not that big a deal.', 'Ross: Oh really. Is that how you felt when you turned thirty?', 'Joey: (screaming) Why God?!! Why?!! We had a deal!! Let the others grow old! Not me!! (He buries his head in Phoebes lap for comfort.)', 'Rachel: Yknow, Im still 29 in Guam.', 'Ross: Hey, 30 is not that old! Do you know how old the Earth is?', 'Rachel: Late thirties? Oh come on you guys! Is it just me? Am I overreacting to this?']"
